TYPEHUQ,CDD30YR,NUMFLRS,STUDIO,STORIES,BEDROOMS,NCOMBATH,OTHROOMS,TOTROOMS,PRKGPLC1,OUTGRILL,ICE,SIZFREEZ,DWASHUSE,TOPFRONT,WASHLOAD,RNSETEMP,DRYER,DRYRFUEL,TVCOLOR,TVONWE3,WELLPUMP,FUELHEAT,HEATROOM,WHEATOTH,CENACHP,MAINTAC,AGECENAC,ACROOMS,USECENAC,PROTHERMAC,TEMPHOMEAC,NUMCFAN,USECFAN,SWIMPOOL,NOUTLGTNT,WINDOWS,ELWARM,ELWATER,PGASHTWA,NHSLDMEM,HUPROJ,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,TOTALDOL,KAVALNG,OA_LAT
2,1271,-2,-2,20,4,1,5,9,1,1,1,-2,3,2,2,3,1,5,4,2,0,5,9,0,0,1,3,9,3,1,74,3,3,0,0,4,1,1,-2,4,-2,5075,3958,3958,18466,1315,-2,6
2,143,-2,-2,31,3,2,1,4,1,1,1,-2,-2,1,2,3,1,1,2,-2,0,1,4,0,0,0,4,4,1,0,-2,0,-2,0,0,4,0,0,1,6,0,3136,2736,2736,5148,1293,1,0
5,829,2,0,-2,1,1,1,2,-2,0,0,-2,-2,-2,-2,-2,0,-2,1,-2,-2,1,2,1,-2,-2,-2,-2,-2,-2,-2,1,2,-2,-2,2,0,0,2,1,0,528,528,264,2218,1327,3,3
2,868,-2,-2,10,3,2,4,7,1,1,0,-2,4,1,2,3,1,5,5,2,0,1,7,0,0,0,2,7,3,0,74,1,1,0,0,4,0,1,-2,1,-2,2023,1623,1623,10015,1398,3,4
3,797,-2,-2,20,2,1,3,5,0,1,0,-2,5,1,2,3,1,5,2,-2,0,1,5,0,-2,-2,-2,-2,-2,-2,-2,0,-2,0,0,3,0,0,1,1,-2,1912,1274,0,2869,1558,1,4
2,436,-2,-2,20,3,1,3,6,0,1,0,2,-2,2,2,1,1,5,1,-2,0,1,6,0,0,1,4,3,2,1,65,1,1,0,1,3,0,0,1,2,-2,3485,3485,1538,6387,1906,1,0
2,796,-2,-2,20,4,2,3,7,0,1,0,-2,4,2,3,3,1,1,4,1,0,1,7,0,0,0,4,7,3,1,75,5,3,0,2,6,1,0,1,4,-2,2654,2296,1938,11821,4304,1,4
2,2554,-2,-2,10,3,2,3,6,1,1,0,-2,-2,1,3,3,1,5,2,-2,1,5,6,0,1,0,3,6,3,1,75,5,1,0,0,2,1,1,-2,6,-2,2352,1952,1952,22928,2622,-2,21
3,912,-2,-2,20,3,1,4,7,0,0,1,-2,-2,1,2,3,1,5,2,-2,0,5,7,0,1,0,1,7,1,1,-2,0,-2,0,0,5,1,1,-2,1,-2,1635,1117,1117,9130,1631,1,5
2,1467,-2,-2,10,3,1,4,7,0,1,0,-2,3,1,2,3,1,5,2,-2,0,1,7,0,0,1,4,6,2,1,70,6,3,0,0,4,1,0,1,1,-2,2390,1365,1170,7474,1388,1,6
4,613,-2,0,-2,2,1,1,3,-2,0,0,-2,3,-2,-2,-2,0,-2,1,-2,-2,1,1,0,-2,-2,-2,-2,-2,-2,-2,1,2,-2,-2,2,0,0,1,1,0,731,244,0,2750,761,1,1
2,1437,-2,-2,20,3,1,4,7,1,1,0,-2,4,2,4,3,1,1,2,-2,0,1,7,0,0,1,3,7,2,1,73,5,3,0,0,6,0,0,1,3,-2,2185,1935,1456,11807,3666,1,5
2,3895,-2,-2,10,3,2,3,6,0,1,0,-2,-2,2,2,3,1,5,4,1,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,6,2,0,0,5,0,1,-2,2,0,1387,0,0,9775,2112,-2,22
5,2252,2,0,-2,2,2,2,4,-2,0,0,-2,3,1,3,3,1,5,2,-2,-2,5,4,0,0,1,3,4,3,1,75,3,2,-2,-2,1,1,1,-2,1,0,809,809,809,6335,718,-2,10
5,1328,3,1,-2,-2,1,1,1,-2,0,0,-2,3,-2,-2,-2,0,-2,1,-2,-2,1,1,1,0,0,2,1,3,0,72,0,-2,-2,-2,1,0,0,2,1,0,411,411,411,4031,684,3,0
2,895,-2,-2,20,4,2,5,9,1,1,0,-2,4,1,3,3,1,5,4,1,0,1,9,0,0,0,2,9,3,1,70,0,-2,0,0,5,0,1,-2,2,-2,4740,3680,3680,13020,2112,1,4
2,1641,-2,-2,10,3,1,3,6,0,0,0,-2,-2,-2,-2,-2,0,-2,1,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,0,4,0,0,-2,1,-2,1482,0,247,2079,271,-2,8
4,1130,-2,0,-2,1,1,2,3,-2,0,0,-2,-2,-2,-2,-2,0,-2,0,-2,-2,1,3,1,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,4,0,0,2,2,0,592,592,0,2477,1474,3,5
1,410,-2,-2,10,2,2,3,5,0,1,1,-2,4,1,3,3,1,5,1,-2,0,1,5,0,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,4,0,0,1,3,0,1107,1107,0,6877,1293,1,0
2,651,-2,-2,20,3,3,9,12,1,1,0,3,1,1,1,3,1,5,3,1,0,1,12,0,0,0,6,12,1,1,-2,3,1,0,0,5,0,0,1,2,-2,3863,3213,3213,12497,2194,1,1
2,1390,-2,-2,10,4,3,2,6,1,1,0,-2,3,1,2,3,1,1,4,1,0,1,6,0,0,1,6,6,3,1,77,2,2,0,1,3,0,0,1,4,-2,3168,2768,2768,12200,3085,1,0
2,828,-2,-2,10,3,2,3,6,0,1,1,3,-2,1,3,2,1,5,3,5,0,1,6,0,-2,-2,-2,-2,-2,-2,-2,5,3,0,0,3,1,0,1,2,0,1584,1584,528,9187,1872,1,3
2,777,-2,-2,20,2,1,2,4,0,0,1,-2,1,2,1,3,1,5,1,-2,0,3,4,0,-2,-2,-2,-2,-2,-2,-2,0,-2,1,1,5,0,0,-2,1,0,3042,3042,0,13984,4796,-2,6
2,3477,-2,-2,10,4,2,4,8,1,0,1,-2,1,2,1,3,1,1,2,-2,0,5,8,0,1,1,4,8,2,1,78,6,2,0,0,4,1,0,1,1,-2,3834,3184,3184,4413,1074,1,24
2,442,-2,-2,20,5,2,4,9,1,1,0,-2,5,1,2,2,1,5,4,2,0,1,9,0,0,0,3,9,1,0,-2,1,1,0,0,4,0,1,-2,2,-2,4455,4055,3650,19041,3644,1,1
4,573,-2,0,-2,3,1,2,5,-2,0,0,-2,-2,1,2,3,1,5,4,2,-2,1,5,0,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,4,1,0,1,3,0,995,663,0,3125,2609,1,3
5,364,3,0,-2,2,1,3,5,-2,1,1,2,5,2,4,3,1,5,5,3,-2,5,5,0,-2,-2,-2,-2,-2,-2,-2,3,1,-2,-2,4,1,1,-2,2,-2,2781,2781,556,11688,1435,-2,1
2,1260,-2,-2,10,2,1,2,4,0,1,0,-2,-2,-2,-2,-2,0,-2,2,-2,0,1,1,0,-2,-2,-2,-2,-2,-2,-2,1,2,0,0,3,0,0,1,1,0,1090,209,0,2170,322,1,0
1,3450,-2,-2,10,1,1,1,2,0,1,0,-2,-2,-2,-2,-2,0,-2,1,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,2,0,-2,-2,7,0,1,-2,1,-2,400,0,200,2447,337,-2,25
2,2596,-2,-2,10,3,2,4,7,1,0,1,-2,-2,1,2,3,1,5,2,-2,0,5,4,0,-2,-2,-2,-2,-2,-2,-2,3,1,0,2,4,1,1,-2,3,-2,2410,1149,0,13137,1627,-2,6
2,482,-2,-2,10,3,1,4,7,0,1,0,-2,3,1,2,3,1,5,5,2,0,3,7,0,0,0,1,4,3,1,70,3,1,0,0,4,0,0,-2,2,-2,1638,1365,624,11009,2564,-2,3
3,714,-2,-2,10,2,1,2,4,0,0,0,-2,-2,1,2,2,1,5,3,2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,0,1,2,0,1,-2,3,1,840,0,0,6925,1030,-2,1
2,1234,-2,-2,10,3,1,4,7,1,0,0,3,-2,1,2,2,1,5,1,-2,0,5,7,0,1,0,6,7,1,0,-2,0,-2,0,0,4,1,1,-2,2,-2,1800,900,900,32493,2022,-2,5
3,799,-2,-2,20,2,1,3,5,0,0,0,-2,1,1,2,3,1,5,2,-2,0,1,5,0,0,0,6,5,1,0,-2,2,2,0,0,3,0,1,-2,1,-2,2013,1342,1342,3222,1534,1,3
3,2613,-2,-2,10,3,2,4,7,1,0,1,-2,4,1,3,3,1,5,2,-2,0,5,7,0,1,0,5,7,3,0,72,2,1,0,1,3,1,1,-2,2,-2,1998,1598,1598,20250,2562,-2,8
2,884,-2,-2,20,4,1,4,8,1,0,1,-2,3,1,3,3,1,5,2,-2,0,5,4,0,0,0,6,4,1,1,-2,5,3,0,2,3,1,1,-2,1,-2,2191,971,971,19950,1727,-2,3
2,806,-2,-2,40,3,1,5,8,1,1,1,3,3,2,3,3,1,2,4,2,0,5,8,0,1,0,2,8,1,1,-2,2,3,0,0,6,1,1,-2,5,-2,3822,3422,3422,36967,6176,-2,5
2,1335,-2,-2,20,3,1,4,7,1,1,1,1,3,1,2,2,1,5,3,1,0,1,7,0,0,0,3,7,1,0,-2,1,1,0,0,4,0,0,1,1,0,3120,3120,3120,7435,1967,1,5
1,2488,-2,-2,10,3,2,2,5,0,1,0,3,3,1,3,3,1,5,2,-2,0,5,5,0,0,1,3,5,3,0,78,3,3,-2,-2,4,1,1,-2,4,-2,1488,1488,1488,31973,3959,-2,6
5,2452,2,0,-2,3,2,4,7,-2,0,0,-2,1,1,3,3,1,5,4,2,-2,5,7,0,0,1,4,7,3,0,75,4,3,-2,-2,3,1,1,-2,4,0,1260,1260,1260,23414,2595,-2,19
2,775,-2,-2,10,3,1,2,5,0,1,0,1,3,1,3,3,1,5,5,2,0,1,5,0,0,0,2,5,2,0,72,0,-2,0,0,4,0,0,1,3,1,1800,1800,1800,10143,1525,1,1
2,1567,-2,-2,10,4,2,3,7,1,1,0,2,2,2,4,2,1,5,5,2,0,1,7,0,0,0,4,7,2,0,81,7,3,0,1,4,0,0,1,6,-2,2119,1719,1719,15219,3323,1,0
5,1526,2,0,-2,4,2,3,7,-2,1,0,-2,-2,1,3,3,1,5,4,3,-2,1,7,0,0,0,2,7,3,1,74,3,2,-2,-2,3,0,0,1,4,0,2831,2831,2831,12634,1922,1,7
5,643,2,1,-2,-2,1,1,1,-2,0,0,-2,2,-2,-2,-2,0,-2,2,-2,-2,1,1,1,0,0,6,1,1,0,-2,0,-2,-2,-2,2,0,0,1,1,0,527,527,527,4818,968,1,0
2,441,-2,-2,20,4,2,4,8,1,1,0,-2,3,2,2,2,1,1,2,-2,1,1,8,0,-2,-2,-2,-2,-2,-2,-2,4,1,0,0,6,0,0,1,2,-2,3744,2144,0,8429,2207,1,2
3,903,-2,-2,10,3,2,2,5,0,0,0,-2,3,2,2,3,1,1,3,1,0,1,5,0,-2,-2,-2,-2,-2,-2,-2,0,-2,0,0,2,0,0,1,4,0,1131,1131,0,2840,779,1,3
5,1176,9,0,-2,2,1,2,4,-2,0,0,-2,3,-2,-2,-2,0,-2,2,-2,-2,1,4,1,0,0,2,4,1,1,-2,0,-2,-2,-2,3,0,0,2,3,1,834,834,834,4369,889,3,5
1,1188,-2,-2,10,3,1,2,5,0,1,0,2,-2,1,3,3,1,5,1,-2,1,5,4,0,0,0,3,4,3,0,78,1,1,-2,-2,3,1,1,-2,2,-2,1120,896,896,22070,1723,-2,4
2,1632,-2,-2,10,3,2,3,6,1,1,1,-2,1,1,3,3,1,5,3,2,0,1,6,0,0,1,6,6,3,1,72,1,0,0,0,3,1,0,1,3,-2,1820,1420,1420,14517,3244,1,8
5,1229,6,1,-2,-2,1,1,1,-2,0,0,-2,-2,-2,-2,-2,0,-2,1,-2,-2,3,1,1,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,4,0,0,-2,1,0,1188,1188,0,1634,1357,3,5
2,1684,-2,-2,10,2,1,3,5,0,0,0,-2,-2,1,1,3,1,5,1,-2,0,5,4,0,0,0,4,4,1,0,-2,4,1,0,0,3,1,0,1,1,0,846,677,677,1572,721,1,2
