Target,Variables,Correlation,abs(Correlation)
KWH,BTUEL,0.999999999806134,0.999999999806134
KWH,DOLLAREL,0.903403417913086,0.903403417913086
KWH,KWHOTH,0.871443885888537,0.871443885888537
KWH,BTUELOTH,0.87144382714418,0.87144382714418
KWH,DOLELOTH,0.7456235101985562,0.7456235101985562
KWH,TOTALBTUOTH,0.7101202791475262,0.7101202791475262
KWH,TOTALDOLOTH,0.6909082058617485,0.6909082058617485
KWH,BTUELRFG,0.629723650804695,0.629723650804695
KWH,TOTALBTURFG,0.6297234632792245,0.6297234632792245
KWH,KWHRFG,0.6297232687951255,0.6297232687951255
KWH,TOTALBTUCOL,0.622991821383615,0.622991821383615
KWH,BTUELCOL,0.6229911475317684,0.6229911475317684
KWH,KWHCOL,0.622990959227097,0.622990959227097
KWH,TOTALDOL,0.6187776564839047,0.6187776564839047
KWH,TOTALDOLCOL,0.5820849285071642,0.5820849285071642
KWH,DOLELCOL,0.5820430835085504,0.5820430835085504
KWH,TOTALDOLWTH,0.5172025501066232,0.5172025501066232
KWH,KWHWTH,0.47909533379345237,0.47909533379345237
KWH,BTUELWTH,0.47909506774993005,0.47909506774993005
KWH,DOLELWTH,0.454197460488676,0.454197460488676
KWH,DOLELRFG,0.4468959890702116,0.4468959890702116
KWH,TOTALDOLRFG,0.4468726724874207,0.4468726724874207
KWH,KWHSPH,0.4168857743249323,0.4168857743249323
KWH,BTUELSPH,0.41688564260104644,0.41688564260104644
KWH,DOLELSPH,0.40225080504770716,0.40225080504770716
KWH,TOTALBTU,0.3417971767704198,0.3417971767704198
KWH,BTUNG,-0.21512655161387614,0.21512655161387614
KWH,DOLLARNG,-0.21098707271357534,0.21098707271357534
KWH,TOTALBTUWTH,0.20471141275087337,0.20471141275087337
KWH,DOLNGSPH,-0.19925862909427977,0.19925862909427977
KWH,BTUNGSPH,-0.19713707518553958,0.19713707518553958
KWH,BTUNGOTH,-0.18831785333805404,0.18831785333805404
KWH,DOLNGOTH,-0.18670278284025657,0.18670278284025657
KWH,BTUNGWTH,-0.18184973569614635,0.18184973569614635
KWH,DOLNGWTH,-0.17913953418524206,0.17913953418524206
KWH,BTUWOOD,0.12213331349442672,0.12213331349442672
KWH,BTULP,0.11823157561468524,0.11823157561468524
KWH,DOLLARLP,0.11812867976606335,0.11812867976606335
KWH,BTULPSPH,0.11270074798571209,0.11270074798571209
KWH,DOLLPSPH,0.11268446583175502,0.11268446583175502
KWH,DOLLARFO,-0.09735425386411482,0.09735425386411482
KWH,BTUFO,-0.09711686159499623,0.09711686159499623
KWH,DOLFOSPH,-0.09370181466626967,0.09370181466626967
KWH,BTUFOSPH,-0.09349991561158864,0.09349991561158864
KWH,DOLFOWTH,-0.08306380448218187,0.08306380448218187
KWH,BTUFOWTH,-0.08303519134475473,0.08303519134475473
KWH,TOTALBTUSPH,-0.0706344318857738,0.0706344318857738
KWH,BTULPOTH,0.06802711797715716,0.06802711797715716
KWH,DOLLPOTH,0.06788502591185663,0.06788502591185663
KWH,TOTALDOLSPH,0.037154840940132425,0.037154840940132425
KWH,BTULPWTH,0.032603691194301954,0.032603691194301954
KWH,DOLLPWTH,0.032444078177372535,0.032444078177372535
KWH,DOLKERWTH,-0.013363976711704228,0.013363976711704228
KWH,BTUKERWTH,-0.013363976711704228,0.013363976711704228
KWH,BTUKER,0.012967217114759138,0.012967217114759138
KWH,DOLLARKER,0.012966886443133806,0.012966886443133806
KWH,BTUKEROTH,0.012080228945677183,0.012080228945677183
KWH,DOLKEROTH,0.012078307338060012,0.012078307338060012
KWH,DOLKERSPH,0.009136854140254884,0.009136854140254884
KWH,BTUKERSPH,0.00912898084727358,0.00912898084727358
KWH,BTUFOOTH,0.00794910900362143,0.00794910900362143
KWH,DOLFOOTH,0.007947411131537149,0.007947411131537149
