Var1,Var2,Corr,Target,Variables,Correlation,abs(Correlation)
ACOTHERS,CENACHP,0.9222512961749227,KWH,CENACHP,0.42798657416605035,0.42798657416605035
ACROOMS,ACROOMS,1.0,KWH,ACROOMS,0.4889982552081782,0.4889982552081782
AGECENAC,AGECENAC,1.0,KWH,AGECENAC,0.33523809147078076,0.33523809147078076
BEDROOMS,BEDROOMS,1.0,KWH,BEDROOMS,0.4616172023683042,0.4616172023683042
CABLESAT3,TVONWE3,0.9073992607644211,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
CDD30YR,CDD30YR,1.0,KWH,CDD30YR,0.30246815575546665,0.30246815575546665
CENACHP,CENACHP,1.0,KWH,CENACHP,0.42798657416605035,0.42798657416605035
COMBOVCRDVD3,TVONWE3,0.9369078210471674,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
CWASHER,DRYER,0.9038336962102672,KWH,DRYER,0.4003137200864793,0.4003137200864793
DIGITSTB3,TVONWE3,0.9319970068072655,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
DRYER,DRYER,1.0,KWH,DRYER,0.4003137200864793,0.4003137200864793
DRYRFUEL,DRYRFUEL,1.0,KWH,DRYRFUEL,0.43698503567213576,0.43698503567213576
DVD3,TVONWE3,0.9252737999876134,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
DWASHUSE,DWASHUSE,1.0,KWH,DWASHUSE,0.3432383864274805,0.3432383864274805
ELWARM,ELWARM,1.0,KWH,ELWARM,0.3112288483025626,0.3112288483025626
ELWATER,ELWATER,1.0,KWH,ELWATER,0.3671771179566893,0.3671771179566893
FUELH2O,ELWATER,0.9375250628965317,KWH,ELWATER,0.3671771179566893,0.3671771179566893
FUELHEAT,FUELHEAT,1.0,KWH,FUELHEAT,0.3190464809356458,0.3190464809356458
HEATROOM,HEATROOM,1.0,KWH,HEATROOM,0.4329061756900957,0.4329061756900957
HUPROJ,HUPROJ,1.0,KWH,HUPROJ,-0.3157853990412146,0.3157853990412146
ICE,ICE,1.0,KWH,ICE,0.32609718811210947,0.32609718811210947
KAVALNG,KAVALNG,1.0,KWH,KAVALNG,-0.3593546300099876,0.3593546300099876
KOWNRENT,HUPROJ,0.9886136208832764,KWH,HUPROJ,-0.3157853990412146,0.3157853990412146
KWH,KWH,1.0,KWH,KWH,1.0,1.0
MAINTAC,MAINTAC,1.0,KWH,MAINTAC,0.38870680886175074,0.38870680886175074
NAPTFLRS,STUDIO,0.993927910293413,KWH,STUDIO,-0.4065958731589773,0.4065958731589773
NCOMBATH,NCOMBATH,1.0,KWH,NCOMBATH,0.4228131113570512,0.4228131113570512
NHSLDMEM,NHSLDMEM,1.0,KWH,NHSLDMEM,0.3362100510093768,0.3362100510093768
NOUTLGTNT,NOUTLGTNT,1.0,KWH,NOUTLGTNT,0.3549304588576313,0.3549304588576313
NUMAPTS,NUMFLRS,0.9956870648573724,KWH,NUMFLRS,-0.33724238725500366,0.33724238725500366
NUMCFAN,NUMCFAN,1.0,KWH,NUMCFAN,0.4078985616837534,0.4078985616837534
NUMFLRS,NUMFLRS,1.0,KWH,NUMFLRS,-0.33724238725500366,0.33724238725500366
OA_LAT,OA_LAT,1.0,KWH,OA_LAT,0.31676236622900933,0.31676236622900933
OTHERSTB3,TVONWE3,0.947741269074855,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
OTHROOMS,OTHROOMS,1.0,KWH,OTHROOMS,0.3567543183188215,0.3567543183188215
OUTGRILL,OUTGRILL,1.0,KWH,OUTGRILL,0.34236646335685766,0.34236646335685766
PELAC,CENACHP,0.9192751673847779,KWH,CENACHP,0.42798657416605035,0.42798657416605035
PELHEAT,ELWARM,0.988483937397962,KWH,ELWARM,0.3112288483025626,0.3112288483025626
PELHOTWA,ELWATER,0.9940753744205312,KWH,ELWATER,0.3671771179566893,0.3671771179566893
PERIODNG,KAVALNG,0.9849735819835301,KWH,KAVALNG,-0.3593546300099876,0.3593546300099876
PGASHTWA,PGASHTWA,1.0,KWH,PGASHTWA,-0.35775952136702627,0.35775952136702627
PLAYSTA3,TVONWE3,0.9406377577159607,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
PRKGPLC1,PRKGPLC1,1.0,KWH,PRKGPLC1,0.3722367702284419,0.3722367702284419
PROTHERMAC,PROTHERMAC,1.0,KWH,PROTHERMAC,0.3698923973272348,0.3698923973272348
RNSETEMP,RNSETEMP,1.0,KWH,RNSETEMP,0.31161813050537773,0.31161813050537773
SCALENG,KAVALNG,0.9944233656389757,KWH,KAVALNG,-0.3593546300099876,0.3593546300099876
SIZFREEZ,SIZFREEZ,1.0,KWH,SIZFREEZ,0.3014701080517893,0.3014701080517893
STORIES,STORIES,1.0,KWH,STORIES,0.3239337418241894,0.3239337418241894
STUDIO,STUDIO,1.0,KWH,STUDIO,-0.4065958731589773,0.4065958731589773
SWIMPOOL,SWIMPOOL,1.0,KWH,SWIMPOOL,0.3974358845105034,0.3974358845105034
TEMPGONEAC,TEMPHOMEAC,0.9731118839468992,KWH,TEMPHOMEAC,0.42163082916554206,0.42163082916554206
TEMPHOMEAC,TEMPHOMEAC,1.0,KWH,TEMPHOMEAC,0.42163082916554206,0.42163082916554206
TEMPNITEAC,TEMPHOMEAC,0.9830975089570907,KWH,TEMPHOMEAC,0.42163082916554206,0.42163082916554206
THERMAINAC,CENACHP,0.9277157046202185,KWH,CENACHP,0.42798657416605035,0.42798657416605035
TOPFRONT,TOPFRONT,1.0,KWH,TOPFRONT,0.3464183338315294,0.3464183338315294
TOTALDOL,TOTALDOL,1.0,KWH,TOTALDOL,0.6187776564839047,0.6187776564839047
TOTCSQFT,TOTCSQFT,1.0,KWH,TOTCSQFT,0.5095914576869386,0.5095914576869386
TOTHSQFT,TOTHSQFT,1.0,KWH,TOTHSQFT,0.4358897828802115,0.4358897828802115
TOTROOMS,TOTROOMS,1.0,KWH,TOTROOMS,0.4587577066407856,0.4587577066407856
TOTSQFT,TOTSQFT,1.0,KWH,TOTSQFT,0.4142405553907265,0.4142405553907265
TOTSQFT_EN,TOTSQFT,0.9896437695664145,KWH,TOTSQFT,0.4142405553907265,0.4142405553907265
TVAUDIOSYS3,TVONWE3,0.9437345975880647,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
TVCOLOR,TVCOLOR,1.0,KWH,TVCOLOR,0.3872506496404577,0.3872506496404577
TVONWD3,TVONWE3,0.97734226180477,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
TVONWE3,TVONWE3,1.0,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
TVSIZE3,TVONWE3,0.9083364486802383,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
TVTYPE3,TVONWE3,0.9176764438282887,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
TYPEHUQ,TYPEHUQ,1.0,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
UGWATER,PGASHTWA,0.9729757447349611,KWH,PGASHTWA,-0.35775952136702627,0.35775952136702627
USECENAC,USECENAC,1.0,KWH,USECENAC,0.45814798408956986,0.45814798408956986
USECFAN,USECFAN,1.0,KWH,USECFAN,0.31079232352766073,0.31079232352766073
USENG,KAVALNG,0.9210449267965423,KWH,KAVALNG,-0.3593546300099876,0.3593546300099876
VCR3,TVONWE3,0.9314866915760077,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
WASHLOAD,WASHLOAD,1.0,KWH,WASHLOAD,0.44593828449581047,0.44593828449581047
WELLPUMP,WELLPUMP,1.0,KWH,WELLPUMP,0.40534139322052465,0.40534139322052465
WHEATOTH,WHEATOTH,1.0,KWH,WHEATOTH,-0.336466015637626,0.336466015637626
WINDOWS,WINDOWS,1.0,KWH,WINDOWS,0.3124686452406085,0.3124686452406085
