Target,Variables,Correlation,abs(Correlation)
KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
KWH,CDD30YR,0.30246815575546665,0.30246815575546665
KWH,KOWNRENT,-0.3079109606576243,0.3079109606576243
KWH,NUMFLRS,-0.33724238725500366,0.33724238725500366
KWH,NUMAPTS,-0.3362847634686694,0.3362847634686694
KWH,STUDIO,-0.4065958731589773,0.4065958731589773
KWH,NAPTFLRS,-0.39818644907825274,0.39818644907825274
KWH,STORIES,0.3239337418241894,0.3239337418241894
KWH,BEDROOMS,0.4616172023683042,0.4616172023683042
KWH,NCOMBATH,0.4228131113570512,0.4228131113570512
KWH,OTHROOMS,0.3567543183188215,0.3567543183188215
KWH,TOTROOMS,0.4587577066407856,0.4587577066407856
KWH,PRKGPLC1,0.3722367702284419,0.3722367702284419
KWH,OUTGRILL,0.34236646335685766,0.34236646335685766
KWH,ICE,0.32609718811210947,0.32609718811210947
KWH,SIZFREEZ,0.3014701080517893,0.3014701080517893
KWH,DWASHUSE,0.3432383864274805,0.3432383864274805
KWH,CWASHER,0.38120271766377595,0.38120271766377595
KWH,TOPFRONT,0.3464183338315294,0.3464183338315294
KWH,WASHLOAD,0.44593828449581047,0.44593828449581047
KWH,RNSETEMP,0.31161813050537773,0.31161813050537773
KWH,DRYER,0.4003137200864793,0.4003137200864793
KWH,DRYRFUEL,0.43698503567213576,0.43698503567213576
KWH,TVCOLOR,0.3872506496404577,0.3872506496404577
KWH,TVSIZE3,0.33152638910470067,0.33152638910470067
KWH,TVTYPE3,0.3369300194568894,0.3369300194568894
KWH,CABLESAT3,0.3400536885629924,0.3400536885629924
KWH,DIGITSTB3,0.3277784051239616,0.3277784051239616
KWH,PLAYSTA3,0.3401636520462704,0.3401636520462704
KWH,COMBOVCRDVD3,0.3381145292516945,0.3381145292516945
KWH,VCR3,0.3268460838090407,0.3268460838090407
KWH,DVD3,0.3309321400617885,0.3309321400617885
KWH,TVAUDIOSYS3,0.3376117380030624,0.3376117380030624
KWH,OTHERSTB3,0.3343430128248828,0.3343430128248828
KWH,TVONWD3,0.33901316747118193,0.33901316747118193
KWH,TVONWE3,0.3421252665294553,0.3421252665294553
KWH,WELLPUMP,0.40534139322052465,0.40534139322052465
KWH,FUELHEAT,0.3190464809356458,0.3190464809356458
KWH,HEATROOM,0.4329061756900957,0.4329061756900957
KWH,FUELH2O,0.3548758406936547,0.3548758406936547
KWH,WHEATOTH,-0.336466015637626,0.336466015637626
KWH,CENACHP,0.42798657416605035,0.42798657416605035
KWH,ACOTHERS,0.3774532376504094,0.3774532376504094
KWH,MAINTAC,0.38870680886175074,0.38870680886175074
