Var1,Var2,Corr,Target,Variables,Correlation,abs(Correlation)
TYPEHUQ,TYPEHUQ,1.0,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
CDD30YR,TYPEHUQ,-0.03903281924358562,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
KOWNRENT,TYPEHUQ,0.6059239822679245,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
NUMFLRS,TYPEHUQ,0.7403841296946031,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
NUMAPTS,TYPEHUQ,0.7400916309649331,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
STUDIO,TYPEHUQ,0.861453094276813,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
NAPTFLRS,TYPEHUQ,0.8594683875134553,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
STORIES,TYPEHUQ,-0.6193766333782835,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
BEDROOMS,TYPEHUQ,-0.536948025282111,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
NCOMBATH,TYPEHUQ,-0.3408511860971667,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
OTHROOMS,TYPEHUQ,-0.39790592507740447,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
TOTROOMS,TYPEHUQ,-0.5280023102918929,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
PRKGPLC1,TYPEHUQ,-0.6464360549995262,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
OUTGRILL,TYPEHUQ,-0.3955545580570121,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
ICE,TYPEHUQ,-0.28577728480601466,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
SIZFREEZ,TYPEHUQ,-0.29068001097649415,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
DWASHUSE,TYPEHUQ,-0.16060821124655456,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
CWASHER,TYPEHUQ,-0.5421199828644706,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
TOPFRONT,TYPEHUQ,-0.44063467073645457,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
WASHLOAD,TYPEHUQ,-0.43719227716358056,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
RNSETEMP,TYPEHUQ,-0.44009697476635823,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
DRYER,TYPEHUQ,-0.515490503496198,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
DRYRFUEL,TYPEHUQ,-0.39791052635868046,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
TVCOLOR,TYPEHUQ,-0.2580353517184728,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
TVSIZE3,TYPEHUQ,-0.21603506396706565,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
TVTYPE3,TYPEHUQ,-0.21866793698044024,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
CABLESAT3,TYPEHUQ,-0.23010185665742858,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
DIGITSTB3,TYPEHUQ,-0.22119046351631746,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
PLAYSTA3,TYPEHUQ,-0.21970232287848343,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
COMBOVCRDVD3,TYPEHUQ,-0.22407117835672008,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
VCR3,TYPEHUQ,-0.22361329230733526,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
DVD3,TYPEHUQ,-0.215191179317131,KWH,TYPEHUQ,-0.4108945316478414,0.4108945316478414
