Var1,Var2,Corr,Target,Variables,Correlation,abs(Correlation)
ACOTHERS,ACOTHERS,1.0,KWH,ACOTHERS,0.3774532376504094,0.3774532376504094
ACOTHERS,PELAC,0.9818132290061256,KWH,PELAC,0.3844373102546891,0.3844373102546891
ACOTHERS,THERMAINAC,0.9770542312241037,KWH,THERMAINAC,0.4017799796434648,0.4017799796434648
ACOTHERS,CENACHP,0.9222512961749227,KWH,CENACHP,0.42798657416605035,0.42798657416605035
ACROOMS,ACROOMS,1.0,KWH,ACROOMS,0.4889982552081782,0.4889982552081782
AGECENAC,AGECENAC,1.0,KWH,AGECENAC,0.33523809147078076,0.33523809147078076
BEDROOMS,BEDROOMS,1.0,KWH,BEDROOMS,0.4616172023683042,0.4616172023683042
CABLESAT3,VCR3,0.9312857853986366,KWH,VCR3,0.3268460838090407,0.3268460838090407
CABLESAT3,DIGITSTB3,0.9278721901133217,KWH,DIGITSTB3,0.3277784051239616,0.3277784051239616
CABLESAT3,DVD3,0.9173833847494187,KWH,DVD3,0.3309321400617885,0.3309321400617885
CABLESAT3,TVSIZE3,0.9159436016883495,KWH,TVSIZE3,0.33152638910470067,0.33152638910470067
CABLESAT3,OTHERSTB3,0.9471679958234949,KWH,OTHERSTB3,0.3343430128248828,0.3343430128248828
CABLESAT3,TVTYPE3,0.9224700607631067,KWH,TVTYPE3,0.3369300194568894,0.3369300194568894
CABLESAT3,TVAUDIOSYS3,0.9452073267843605,KWH,TVAUDIOSYS3,0.3376117380030624,0.3376117380030624
CABLESAT3,COMBOVCRDVD3,0.9352051994886283,KWH,COMBOVCRDVD3,0.3381145292516945,0.3381145292516945
CABLESAT3,TVONWD3,0.9100813827953873,KWH,TVONWD3,0.33901316747118193,0.33901316747118193
CABLESAT3,CABLESAT3,1.0,KWH,CABLESAT3,0.3400536885629924,0.3400536885629924
CABLESAT3,PLAYSTA3,0.9225953908675415,KWH,PLAYSTA3,0.3401636520462704,0.3401636520462704
CABLESAT3,TVONWE3,0.9073992607644211,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
CDD30YR,CDD30YR,1.0,KWH,CDD30YR,0.30246815575546665,0.30246815575546665
CENACHP,ACOTHERS,0.9222512961749227,KWH,ACOTHERS,0.3774532376504094,0.3774532376504094
CENACHP,PELAC,0.9192751673847779,KWH,PELAC,0.3844373102546891,0.3844373102546891
